"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7326","open Url","chromium","2026-03-24","failed","2026-03-24","","DEMO\reporters.spec.ts","",""
"","16654","tab switch","chromium","2026-04-03","passed","2026-04-03","","DEMO\BrowserContext_loginout.spec.ts","",""
"","1735","logout","chromium","2026-04-03","passed","2026-04-03","","DEMO\BrowserContext_loginout.spec.ts","",""
"","18478","login","chromium","2026-04-03","passed","2026-04-03","","DEMO\BrowserContext_loginout.spec.ts","",""
"","4386","openURL","chromium","2026-04-03","passed","2026-04-03","","DEMO\BrowserContext_loginout.spec.ts","",""
"","9050","update profile","chromium","2026-04-16","passed","2026-04-16","","Naukari\updateProfile.spec.ts","",""
"","1515","login","chromium","2026-04-16","passed","2026-04-16","","Naukari\updateProfile.spec.ts","",""
"","8258","select value from dropdown","chromium","2026-03-24","passed","2026-03-24","","DEMO\reporters.spec.ts","",""
"","9905","open dropdown page","chromium","2026-03-24","passed","2026-03-24","","DEMO\reporters.spec.ts","",""
"","1398","login","chromium","2026-04-16","passed","2026-04-16","","Naukari\apply.spec.ts","",""
"","5282","openURL","chromium","2026-04-16","passed","2026-04-16","","Naukari\apply.spec.ts","",""
"","12615","popup switch","chromium","2026-04-03","passed","2026-04-03","","DEMO\BrowserContext_loginout.spec.ts","",""
"","26586","test play","chromium","2026-04-03","passed","2026-04-03","","DEMO\BrowserContext_loginout.spec.ts","",""
"","9373","update profile","chromium","2026-04-16","passed","2026-04-16","","Naukari\apply.spec.ts","",""
"","126","store values frm DD","chromium","2026-03-24","passed","2026-03-24","","DEMO\reporters.spec.ts","",""
"","4967","openURL","chromium","2026-04-16","passed","2026-04-16","","Naukari\updateProfile.spec.ts","",""
